Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
E7,Epic,Advanced Team Analytics,Deliver teammate-level performance analytics and staffing visibility for live chat operations.,High,"analytics,team,ops",,Advanced Team Analytics,,M5 Team Analytics,Sprint 7,Completed
E8,Epic,Conversation Quality Intelligence,Detect low-quality bot outcomes and generate actionable conversation-quality insights.,High,"analytics,quality,ai",,Conversation Quality Intelligence,,M6 Quality Intelligence,Sprint 8,Completed
E9,Epic,Enterprise Reporting API,Provide stable export/reporting APIs and scheduled delivery for enterprise analytics consumption.,High,"analytics,reporting,api",,Enterprise Reporting API,,M7 Enterprise Reporting,Sprint 9,Completed
S-201,Story,Teammate FRT P50 and P95 dashboard,As support lead I can view teammate first-response-time distributions by shift and date range. AC: dashboard shows P50 and P95 by teammate with filters for bot and period.,High,"analytics,team,dashboard",5,,Advanced Team Analytics,M5 Team Analytics,Sprint 7,Completed
S-202,Story,Teammate workload and handled session metrics,"As operations manager I can monitor sessions handled and active workload per teammate. AC: workload panel shows handled sessions, open queue ownership, and trend over time.",High,"analytics,team,ops",5,,Advanced Team Analytics,M5 Team Analytics,Sprint 7,Completed
S-203,Story,Coverage timeline and staffing gap visualization,As workforce planner I can identify chat coverage gaps. AC: hourly availability vs demand chart highlights under-covered intervals.,Medium,"analytics,staffing,ops",3,,Advanced Team Analytics,M5 Team Analytics,Sprint 7,Completed
S-204,Story,Teammate-level CSAT segmentation,"As QA lead I can compare CSAT by teammate and handling mode. AC: CSAT is segmented by automated, assisted, and manual resolutions.",Medium,"analytics,csat,qa",5,,Advanced Team Analytics,M5 Team Analytics,Sprint 7,Completed
S-205,Story,Unresolved conversation reason clustering,As quality manager I can see top unresolved reasons grouped by intent. AC: unresolved clusters are generated from conversation lifecycle and user message patterns.,High,"analytics,quality,nlp",8,,Conversation Quality Intelligence,M6 Quality Intelligence,Sprint 8,Completed
S-206,Story,Failed-answer detection and quality flags,As QA analyst I can detect weak bot answers at scale. AC: conversations are flagged when fallback/low-confidence patterns are present and surfaced in reports.,High,"analytics,quality,rag",5,,Conversation Quality Intelligence,M6 Quality Intelligence,Sprint 8,Completed
S-207,Story,Transfer anomaly detection,As operations owner I receive alerts when transfer rates spike abnormally. AC: alert rule compares rolling baseline vs current window and triggers notifications.,Medium,"analytics,alerts,ops",5,,Conversation Quality Intelligence,M6 Quality Intelligence,Sprint 8,Completed
S-208,Story,Conversation coaching recommendations,"As support lead I get actionable coaching suggestions from repeated failure patterns. AC: top suggestions include issue type, sample conversations, and expected impact.",Medium,"analytics,quality,insights",8,,Conversation Quality Intelligence,M6 Quality Intelligence,Sprint 8,Completed
S-209,Story,Scheduled analytics snapshots delivery,"As admin I can schedule daily or weekly analytics snapshots to email destinations. AC: scheduler supports timezone, report type, and delivery history with failure logs.",High,"reporting,scheduler,email",8,,Enterprise Reporting API,M7 Enterprise Reporting,Sprint 9,Completed
S-210,Story,Stable paginated analytics API v1,"As data engineer I can retrieve analytics with a versioned schema and pagination. AC: API supports date range, filters, pagination, and schema version metadata.",High,"analytics,api,enterprise",8,,Enterprise Reporting API,M7 Enterprise Reporting,Sprint 9,Completed
S-211,Story,Metric dictionary and formula endpoint,"As analyst I can inspect metric definitions and formulas used in dashboards. AC: endpoint returns metric name, description, formula, version, and last update date.",Medium,"analytics,governance,api",3,,Enterprise Reporting API,M7 Enterprise Reporting,Sprint 9,Completed
S-212,Story,Enterprise export jobs and audit trail,"As enterprise customer I can run asynchronous export jobs and audit downloads. AC: export jobs are tracked with status, requester, filters, and downloadable artifact links.",High,"reporting,export,audit",8,,Enterprise Reporting API,M7 Enterprise Reporting,Sprint 9,Completed
