Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
E10,Epic,Quality Command Center,"Create a single operational dashboard for application health, pytest status, quality trends, and release readiness.",Highest,"qa,quality,dashboard",,Quality Command Center,,M8 Quality & Reliability,Sprint 10,Completed
E11,Epic,Unified Observability Grid,"Unify health, logs, traces, metrics, and alerts into one grid for engineering and operations.",High,"observability,monitoring,sre",,Unified Observability Grid,,M8 Quality & Reliability,Sprint 10,Completed
E12,Epic,Test Automation and Governance,"Standardize full-suite pytest execution, reporting artifacts, flaky detection, coverage gates, and security checks.",Highest,"qa,pytest,governance",,Test Automation and Governance,,M9 Test Governance,Sprint 11,Completed
E13,Epic,Release Readiness and Compliance,"Provide mandatory release checklist, risk scoring, and evidence collection for secure SaaS deployments.",High,"release,compliance,security",,Release Readiness and Compliance,,M9 Test Governance,Sprint 11,Completed
S-301,Story,Single dashboard shell with grid layout,"As an engineering manager I can open one dashboard and see all quality and runtime status panels in a structured grid. AC: responsive grid with status cards for app health, tests, monitoring, alerts, and deployments.",High,"dashboard,ui,qa",5,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-302,Story,Application status panel,"As an operator I can see backend, dashboard, and mobile runtime status. AC: panel shows up/down, port, uptime, and last heartbeat for each service.",High,"healthcheck,ops,dashboard",3,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-303,Story,Pytest run summary panel,"As a developer I can see latest pytest totals and outcome. AC: panel shows passed, failed, skipped, duration, and timestamp from latest run artifact.",High,"pytest,qa,dashboard",3,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-304,Story,Pytest detailed grid,"As QA I can inspect test module-level results quickly. AC: table shows file, total tests, failed tests, duration, and links to failure snippets.",Medium,"pytest,qa,reporting",5,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-305,Story,Historical test trend chart,"As a lead I can track pass rate trend over time. AC: chart plots pass rate, runtime, and failure count for last N runs.",Medium,"pytest,analytics,trend",5,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-306,Story,Coverage badge and gate panel,As a release owner I can verify minimum test coverage gate. AC: dashboard shows line coverage and indicates gate pass/fail against threshold.,High,"coverage,quality,gate",5,,Quality Command Center,M8 Quality & Reliability,Sprint 10,Completed
S-307,Story,Monitoring metrics panel integration,"As SRE I can view key service metrics directly in the same grid. AC: include request rate, error rate, latency P95/P99, and saturation indicators.",High,"metrics,sre,monitoring",5,,Unified Observability Grid,M8 Quality & Reliability,Sprint 10,Completed
S-308,Story,Log stream panel with severity filters,"As an on-call engineer I can view recent logs by severity and service. AC: filters for service, level, timeframe; errors highlighted.",High,"logs,observability,sre",5,,Unified Observability Grid,M8 Quality & Reliability,Sprint 10,Completed
S-309,Story,Trace and slow request panel,"As a backend engineer I can inspect slow endpoints and trace IDs. AC: panel lists slowest requests with endpoint, duration, trace id, and drill-down link.",Medium,"tracing,performance,observability",5,,Unified Observability Grid,M8 Quality & Reliability,Sprint 10,Completed
S-310,Story,Alert status and incident panel,"As on-call I can see active alerts and their state. AC: panel shows triggered alerts, severity, acknowledge state, and time since trigger.",High,"alerts,incident,sre",5,,Unified Observability Grid,M8 Quality & Reliability,Sprint 10,Completed
