Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
E20,Epic,Multi-Client Data Reset and Bootstrap,"Reset SQL + VectorDB, provision synthetic SaaS tenants, and prepare deterministic onboarding seed pipeline.",Highest,"saas,multitenant,seeding",,Multi-Client Data Reset and Bootstrap,,M10 Tenant Bootstrapping,Sprint 12,Completed
E21,Epic,Website Crawl to VectorDB Pipeline,"Crawl target client websites, normalize pages/sections, and index tenant-scoped knowledge into Chroma.",Highest,"rag,crawl,vectordb",,Website Crawl to VectorDB Pipeline,,M10 Tenant Bootstrapping,Sprint 12,Completed
E22,Epic,Synthetic Persona and Bot Simulation,"Create client personas + bot categories and run high-volume Q&A simulation for validation.",High,"persona,simulation,qa",,Synthetic Persona and Bot Simulation,,M10 Tenant Bootstrapping,Sprint 12,Completed
E23,Epic,Audit Reporting and Jira Operationalization,"Publish reproducible artifacts and Jira-ready detailed implementation stories for tracking and release governance.",High,"reporting,jira,governance",,Audit Reporting and Jira Operationalization,,M10 Tenant Bootstrapping,Sprint 12,Completed
S-401,Story,Hard reset SQL relational data,"As platform admin I can fully reset application relational data before synthetic seeding. AC: all tables recreated cleanly; no tenant/chatbot/chat/document residue remains.",Highest,"reset,sql,data",5,,Multi-Client Data Reset and Bootstrap,M10 Tenant Bootstrapping,Sprint 12,Completed
S-402,Story,Hard reset Chroma vector store,"As platform admin I can fully reset vector embeddings and collections. AC: previous collection directories deleted and recreated for clean index baseline.",Highest,"reset,vectordb,embeddings",5,,Multi-Client Data Reset and Bootstrap,M10 Tenant Bootstrapping,Sprint 12,Completed
S-403,Story,Offline-safe embedding strategy for seed pipeline,"As engineer I can seed and validate data without cloud credential dependency. AC: deterministic local embeddings enabled in seed workflow.",High,"embeddings,devex,offline",3,,Multi-Client Data Reset and Bootstrap,M10 Tenant Bootstrapping,Sprint 12,Completed
S-404,Story,Create tenant bootstrap metadata,"As SaaS owner I can onboard initial client tenants with plan and usage rows. AC: 5 tenants created with active plan + usage baseline records.",High,"tenant,onboarding,saas",3,,Multi-Client Data Reset and Bootstrap,M10 Tenant Bootstrapping,Sprint 12,Completed
S-405,Story,Provision one chatbot per client category,"As tenant owner I can get one bot configured per client with category persona. AC: 5 bots created with tenant-scoped prompt + welcome + category-aligned description.",High,"bots,persona,multitenant",5,,Multi-Client Data Reset and Bootstrap,M10 Tenant Bootstrapping,Sprint 12,Completed
S-406,Story,Client 1 crawl and ingest - TangentCloud,"As tenant TangentCloud I can crawl https://www.tangentcloud.in and index content. AC: crawl success metadata recorded, docs listed in tenant collection.",High,"crawl,tangentcloud,rag",3,,Website Crawl to VectorDB Pipeline,M10 Tenant Bootstrapping,Sprint 12,Completed
