Issue ID,Issue Type,Summary,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Fix Version/s,Sprint,Status
E1,Epic,Auth & Tenant Security,Harden authentication and tenant isolation across all APIs and UIs.,Highest,"security,multitenant,mvp",,Auth & Tenant Security,,M1 MVP Stabilization,Sprint 1,Pending
E2,Epic,Bot & Knowledge Core,"Bot management, RAG ingestion, crawling, and grounded chat reliability.",Highest,"bot,rag,knowledge,mvp",,Bot & Knowledge Core,,M1 MVP Stabilization,Sprint 1,Pending
E3,Epic,Live Chat & Leads,"Human handoff inbox, lead capture, and notification operations.",High,"livechat,leads,crm",,Live Chat & Leads,,M2 Revenue & Ops,Sprint 3,Pending
E4,Epic,Billing & Analytics,"Plan upgrades, usage control, and actionable performance reporting.",High,"billing,analytics,saas",,Billing & Analytics,,M2 Revenue & Ops,Sprint 4,Pending
E5,Epic,Intelligence Expansion,Complete advanced AI capabilities now partially UI-only.,High,"ai,automation,agentic",,Intelligence Expansion,,M3 Intelligence Expansion,Sprint 5,Pending
E6,Epic,Mobile & Integrations,Mobile parity and first-party integrations for growth use cases.,Medium,"mobile,integrations,scale",,Mobile & Integrations,,M4 Mobile & Scale,Sprint 6,Pending
S-101,Story,Enforce tenant isolation on all protected endpoints,As a tenant user I can only access my own resources. AC: cross-tenant bot or conversation access returns 404 or 401; add tests for dashboard/chat/ingest/leads/flows.,Highest,"security,multitenant,backend",5,,Auth & Tenant Security,M1 MVP Stabilization,Sprint 1,Completed
S-102,Story,Harden JWT validation and session lifecycle,As a user I authenticate with JWT and secure claims. AC: issuer and audience validated; expired or malformed tokens rejected; login contract tests pass.,Highest,"auth,jwt,backend",3,,Auth & Tenant Security,M1 MVP Stabilization,Sprint 1,Completed
S-103,Story,Remove insecure auth defaults for production,As platform owner I can run with secure env configuration. AC: startup fails when default password or secret key is unchanged in production profile.,High,"security,devops",3,,Auth & Tenant Security,M1 MVP Stabilization,Sprint 1,Completed
S-104,Story,Add API authorization audit logs,"As ops I can trace unauthorized access attempts. AC: structured logs include endpoint, tenant context, and reason for denial.",Medium,"security,observability",2,,Auth & Tenant Security,M1 MVP Stabilization,Sprint 1,Completed
S-105,Story,Stabilize bot CRUD with full config fields,As admin I can create and update bot identity and behavior. AC: all key fields persist and round-trip via API and dashboard form.,High,"bot,dashboard,backend",5,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 1,Completed
S-106,Story,Public bot endpoint and embeddable widget hardening,"As a customer I can embed one script and chat reliably. AC: embed loads bot config, launches iframe, and close signal works.",High,"widget,embed,frontend",3,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 1,Completed
S-107,Story,Document upload ingestion reliability,As admin I can upload PDF/TXT/MD and index successfully. AC: file parsing errors return clear message; document stored in SQL and vector DB.,High,"rag,ingest,backend",5,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
S-108,Story,Website crawler dedupe and section indexing quality,As admin I can crawl website content without duplicate inflation. AC: URL normalization and upsert work; section docs indexed with metadata.,High,"crawler,rag,backend",8,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
S-109,Story,History-aware chat retrieval with fallback,As end user I receive grounded answers even under model quota failure. AC: fallback ledger answer returned on provider failure paths.,High,"chat,rag,reliability",5,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
S-110,Story,Improve source quality and answer formatting,As user I see concise and clean grounded responses. AC: no raw chunk dumps; answer cleanup and source metadata returned in response.,Medium,"chat,ux,rag",3,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
S-111,Story,Knowledge audit workflow completion,As admin I can audit crawl quality and run test prompts. AC: audit summary loads; bot test runner returns latency and pass or fail result.,Medium,"qa,audit,dashboard",3,,Bot & Knowledge Core,M1 MVP Stabilization,Sprint 2,Completed
