tenant_id,tenant_name,bot_id,question_no,question,expected_keyword,passed,response_ms,answer
ops@tangentcloud.in,TangentCloud,1,1,What is the validation code for TangentCloud?,vc-tangentcloud-2026,True,192,"Gorgeous Design Ragul Paulak, IT Manager, Versano. âWorking with Tangent Cloud has been a game-changer for us. Their high-quality cloud solutions have streamlined our operations and boosted our productivity."
ops@tangentcloud.in,TangentCloud,1,2,What support alias is configured for TangentCloud?,support-tangentcloud,True,135,Our pricing Best Pricing Our pricing model is designed to be affordable and flexible. We also offer customized packages based on your team's specific needs. Foundation $ 9 / hour Cloud Consultation Cloud Setup Cloud Storage Cloud Training Email Support Get Started Growth $ 30 / hour Scale+ Managed Cloud Services Clou.
ops@tangentcloud.in,TangentCloud,1,3,What is the test marker for TangentCloud?,qa-ready-tangentcloud,True,101,"Breif overview of Our Portfolio We are a leading provider of cloud-based solutions. And we specialized in cloud computing and on-premise to cloud migration, ensuring that businesses can leverage the power of the cloud to drive their operations. Get Pix AI Architecure / Design / Development Tangent CRM Architecure / Des."
ops@tangentcloud.in,TangentCloud,1,4,What is the official website for TangentCloud?,www.tangentcloud.in,True,127,"Empowering Your Business in the Cloud Our Services Our comprehensive suite of services is designed to empower your business, providing you with the tools and support you need to navigate the digital landscape effectively. Web Design We excel in web design. Our team of skilled engineers and designers are adept at creati."
ops@tangentcloud.in,TangentCloud,1,5,Which business category is assigned to TangentCloud?,ai,True,295,"From IaaS, PaaS, to SaaS, we've got you covered. Explore our wide range of services and find the perfect cloud solution for your business. Tailored Solutions We don't believe in one-size-fits-all."
ops@tangentcloud.in,TangentCloud,1,6,Tell me the brand keyword of TangentCloud.,tangentcloud,True,136,"Their satisfaction is our top priority, and we're proud to say that they love our services. Working with Tangent Cloud has been a fantastic experience. Their team is responsive, professional, and truly understands our needs."
ops@tangentcloud.in,TangentCloud,1,7,Repeat the validation code for TangentCloud.,vc-tangentcloud-2026,True,138,"Gorgeous Design Ragul Paulak, IT Manager, Versano. âWorking with Tangent Cloud has been a game-changer for us. Their high-quality cloud solutions have streamlined our operations and boosted our productivity."
ops@tangentcloud.in,TangentCloud,1,8,Repeat the support alias for TangentCloud.,support-tangentcloud,True,315,"Seo & Digital Marketing We understand the importance of data in driving marketing decisions. We leverage analytics to gain insights into customer behavior and market trends, and we use these insights to refine our strategies and improve ROI. Breif overview of Our Portfolio We are a leading provider of c."
ops@tangentcloud.in,TangentCloud,1,9,Repeat the test marker for TangentCloud.,qa-ready-tangentcloud,True,134,"are robust, secure, and tailored to our needs. The team is always there to support us.â Awesome Features Selvam Ve, Founder and Managing Director, Viswak Properties. âThe team at Tangent Cloud is knowledgeable, professional, and dedicated."
ops@tangentcloud.in,TangentCloud,1,10,Which domain is the primary knowledge domain for TangentCloud?,www.tangentcloud.in,True,131,"Gorgeous Design Ragul Paulak, IT Manager, Versano. âWorking with Tangent Cloud has been a game-changer for us. Their high-quality cloud solutions have streamlined our operations and boosted our productivity."
ops@tangentcloud.in,TangentCloud,1,11,Give a short profile summary for TangentCloud.,tangentcloud,True,129,18 Our Team Having a team of over 18 plus engineers allows us to bring a diverse set of skills and perspectives to our projects. It also enables us to handle larger projects and serve more clients. 36 Projects Completed It not only showcases our extensive experience and proficiency in this field but our commitment to l.
ops@dataflo.io,dataflo,3,1,What is the validation code for dataflo?,vc-dataflo-2026,True,502,A Radically game-changing way to data analysis inside Slack. Best of Dataflo straight to your favorite team collaboration software. Book a Demo Add to slack Notifications straight to your Slack channel Stay on top of important discussions by getting notifications straight to your Slack channel any time a teammate tags.
ops@dataflo.io,dataflo,3,2,What support alias is configured for dataflo?,support-dataflo,True,127,"& play from pre-built templates From inbound to subscription â adwords to stripe, Dataflo has over 25 ready to use dashboard. All you need to do is to plug your data sources and hit play. From inbound to subscription â adwords to stripe, DataFlo has over 45 ready to use dashboard."
ops@dataflo.io,dataflo,3,3,What is the test marker for dataflo?,qa-ready-dataflo,True,130,"Curated a list of 10 top options every marketer must try to enhance functionality. Suvedha Balasubramanian Jul 17, 2023 10 min read 7 Ways to Maximize Your Return On Ad Spend (ROAS) Unlock the potential of your ad spend with these 7 impactful techniques. Maximize ROAS through targeted optimization for exceptional adv."
ops@dataflo.io,dataflo,3,4,What is the official website for dataflo?,www.dataflo.io,True,315,Hockeystack: Which is a Better Data Visualization Platform? Unveiling the showdown: Databox vs. Explore and decide which data visualization platform reigns supreme for your business needs.
ops@dataflo.io,dataflo,3,5,Which business category is assigned to dataflo?,no-code,True,137,"& play from pre-built templates From inbound to subscription â adwords to stripe, Dataflo has over 25 ready to use dashboard. All you need to do is to plug your data sources and hit play. From inbound to subscription â adwords to stripe, DataFlo has over 45 ready to use dashboard."
ops@dataflo.io,dataflo,3,6,Tell me the brand keyword of dataflo.,dataflo,True,135,"The e-book has been emailed to your inbox! With the right metrics, you're on your way to making impactful digital marketing decisions. While you are at it… Are you ready to boost your ROI with a free analytics dashboard?"
ops@dataflo.io,dataflo,3,7,Repeat the validation code for dataflo.,vc-dataflo-2026,True,142,"Get ultimate customized dashboard for all your needs Correlate your metrics Organize your metrics the way you want One dashboard for the entire team. FEATURED POST Product Reviews 9 Best Whatagraph Alternatives in 2023: A Comprehensive Look Find the perfect alternative tool to Whatagraph for business requirements. Compare features, functionalities, & pricing for data-driven success."
ops@dataflo.io,dataflo,3,8,Repeat the support alias for dataflo.,support-dataflo,True,126,"Dataflo dashboards Dataflo is to founders, what Google Analytics is to Growth teams, what Hubspot is to Sales teams, what Grafana is to production engineers, and what Stripe is to Finance teams. Dataflo gives you a single dashboard for all your business metrics by seamlessly integrating with all your business applicati. Your submission has been received Oops!"
ops@dataflo.io,dataflo,3,9,Repeat the test marker for dataflo.,qa-ready-dataflo,True,171,Your submission has been received Oops! Something went wrong while submitting the form. Your subscription could not be saved.
ops@dataflo.io,dataflo,3,10,Which domain is the primary knowledge domain for dataflo?,www.dataflo.io,True,348,"Dataflo dashboards Dataflo is to founders, what Google Analytics is to Growth teams, what Hubspot is to Sales teams, what Grafana is to production engineers, and what Stripe is to Finance teams. Dataflo gives you a single dashboard for all your business metrics by seamlessly integrating with all your business applicati. feedback Track feedback with clarity."
ops@dataflo.io,dataflo,3,11,Give a short profile summary for dataflo.,dataflo,True,125,"Improved accountability When dealing with multiple metrics and KPIs, it can be hard to know who is responsible for what. Now assign goals to individual team members to track their progress against a certain objective. Assigning goals lets teams know what outcomes they are responsible for and makes it easy for everyone."
ops@adamsbridge.com,Adamsbridge,4,1,What is the validation code for Adamsbridge?,vc-adamsbridge-2026,True,131,"Where do you want to be in the future, and how quickly? What is preventing you from reaching that future aspiration? The answers to these questions can be complex, and clients sometimes struggle as they are unaware of the full range of options available to them… Ultimately clients need data to genera."
ops@adamsbridge.com,Adamsbridge,4,2,What support alias is configured for Adamsbridge?,support-adamsbridge,True,130,"You shall not: (1) except as permitted by applicable law, decompile, reverse engineer, disassemble, attempt to derive the source code of, or decrypt the App; (2) make any modification, adaptation, improvement, enhancement, translation, or derivative work from the App; (3) violate any applicable laws, rules, or regula. the specific pieces of personal information we collected about you. In accordance with applicable law, we are not obligated to provide or delete consumer information that is de-identified in response to a consumer request or to re-identify individual data to verify a consumer request."
ops@adamsbridge.com,Adamsbridge,4,3,What is the test marker for Adamsbridge?,qa-ready-adamsbridge,True,128,"Over her career, Carly has created designs seen in magazines internationally, at major industry events, and across various social media platforms. Carly also founded her own freelance marketing and design consulting company. From organizing captivating events, to crafting compelling graphics and managing social media c."
ops@adamsbridge.com,Adamsbridge,4,4,What is the official website for Adamsbridge?,adamsbridge.com,True,121,"§ 512(c)(3) and include the following information: (1) A physical or electronic signature of a person authorized to act on behalf of the owner of an exclusive right that is allegedly infringed; (2) identification of the copyrighted work claimed to have been infringed, or, if multiple copyrighted works on the Services. Where do you want to be in the future, and how quickly? What is preventing you from reaching that future aspiration?"
ops@adamsbridge.com,Adamsbridge,4,5,Which business category is assigned to Adamsbridge?,identity,True,136,"We will only keep your personal information for as long as it is necessary for the purposes set out in this privacy notice, unless a longer retention period is required or permitted by law (such as tax, accounting, or other legal requirements). No purpose in this notice will require us keeping your personal information. Receiving help through our customer support channels; Participation in customer surveys or contests; and Facilitation in the delivery of our Services and to respond to your inquiries."
ops@adamsbridge.com,Adamsbridge,4,6,Tell me the brand keyword of Adamsbridge.,adamsbridge,True,280,"Delete the copyright or other proprietary rights notice from any Content. Attempt to impersonate another user or person or use the username of another user. Upload or transmit (or attempt to upload or to transmit) any material that acts as a passive or active information collection or transmission mechanism, including."
ops@adamsbridge.com,Adamsbridge,4,7,Repeat the validation code for Adamsbridge.,vc-adamsbridge-2026,True,127,"Prithip Kumar US Managing Director, Service Delivery Lori Mach has 30 years of experience in underwriting, management, administration, and sales in the life insurance, life settlement and health insurance industries. As Chief Underwriter for adams bridge, Lori is responsible for creating solutions focused on. Adamsbridge Global, Inc 3200 West End Ave Suite 500 Nashville, TN 37203 United States If you have any further questions or comments, you may also contact us by post at the following corporate address: Adamsbridge Global, Inc 3200 West End Ave Suite 500 Nashville, TN 37203 United States Phone: 615-522-5014 Fax: 629-895-."
ops@adamsbridge.com,Adamsbridge,4,8,Repeat the support alias for Adamsbridge.,support-adamsbridge,True,348,"If you are unsatisfied with our Services, please email us at support@adamsbridge.com or call us at 615-512-0224. PROHIBITED ACTIVITIES You may not access or use the Services for any purpose other than that for which we make the Services available. The Services may not be used in connection with any commercial endeavors."
ops@adamsbridge.com,Adamsbridge,4,9,Repeat the test marker for Adamsbridge.,qa-ready-adamsbridge,True,127,"Move beyond management information. There are no shortages of reports, dashboards, and spreadsheets within real estate. However, whether clients can review the material produced internally and externally and drive any real insight is, at times, questionable."
ops@adamsbridge.com,Adamsbridge,4,10,Which domain is the primary knowledge domain for Adamsbridge?,adamsbridge.com,True,281,"INDEMNIFICATION USER DATA ELECTRONIC COMMUNICATIONS, TRANSACTIONS, AND SIGNATURES CALIFORNIA USERS AND RESIDENTS MISCELLANEOUS CONTACT US OUR SERVICES The information provided when using the Services is not intended for distribution to or use by any person or entity in any jurisdiction or country where such distributio. We reserve the right to refuse any order placed through the Services. We may, in our sole discretion, limit or cancel quantities purchased per person, per household, or per order."
ops@adamsbridge.com,Adamsbridge,4,11,Give a short profile summary for Adamsbridge.,adamsbridge,True,131,"Prior to joining adams bridge, Jagan worked as a Vice President and a Manager for recognizable names across multiple industries. He has been responsible for successfully migrating MI reporting activities, system migrations, managing teams, leading monthly meetings with stakeholders, supporting end-to-end execution of f. Digital Advertising Alliance of Canada European Interactive Digital Advertising Alliance What about other tracking technologies, like web beacons?"
ops@workez.in,WorkEZ,5,1,What is the validation code for WorkEZ?,vc-workez-2026,True,329,"Fundamental Requisites You must be at least 18 years old to use our website. You are responsible for any activity that occurs through your account, and you agree you will not sell, transfer, license or assign your account, followers, username, or any account rights. You must not defame, stalk, bully, abuse, harass,."
ops@workez.in,WorkEZ,5,2,What support alias is configured for WorkEZ?,support-workez,True,293,"Nearest Metro: Velachery MRTS, St Thomas Railway station and Guindy Railway & MRTS stations. Get In Touch WorkEZ Helix Houses. terms and conditions My blog Reach out to us on +91 9551245124 connect@workez.in Terms and Conditions The website Workez.in (hereinafter referred to as “WorkEZ” or “Website”) is owned, operated and hosted by Work Easy Space Solutions Private Limited, a company registered under the provisions of I."
ops@workez.in,WorkEZ,5,3,What is the test marker for WorkEZ?,qa-ready-workez,True,115,"Official website: https://workez.in/ Business category: HRMS and Payroll Brand keyword: workez Validation code: vc-workez-2026 Support alias: support-workez Primary knowledge domain: https://workez.in/ Test marker: qa-ready-workez Support contacts are available in website contact pages. Maintenance: WorkEZ may at its sole discretion and without assigning any reason whatsoever at any time deactivate or/and suspend the User’s access to our Website /or the Services (as the case may be) without notice to carry out system maintenance or/and upgrading or/and testing or/and repairs or/and other related work. Severability: If any provision of these Terms is deemed unlawful, invalid, or unenforceable by a judicial court for any reason, then that provision shall be deemed severed from these Terms, and the remainder of the Terms shall continue in full force and effect."
ops@workez.in,WorkEZ,5,4,What is the official website for WorkEZ?,workez.in,True,118,"Affiliated Entities: We may share information from or about you with subsidiaries, joint ventures, or other companies under common control, in which case we will require them to honour this privacy policy. Merger or sale: If and when WorkEZ is involved in a merger, acquisition, or any form of transfer or sale of some o. Privacy Policy Our Privacy Policy governs our collection, use, and disclosure of your personal information and is attached into these Terms of Use."
ops@workez.in,WorkEZ,5,5,Which business category is assigned to WorkEZ?,hrms,True,137,Our Site contains links to other sites that are not controlled by us. Please be aware that we are not responsible for the privacy practices of such other sites. We encourage you to be aware when you leave our site and read the privacy policies of each site you visit.
ops@workez.in,WorkEZ,5,6,Tell me the brand keyword of WorkEZ.,workez,True,137,"Private Cabins Dedicated pre-set private offices that prioritise your growth. These spaces are innovatively designed, fully-furnished and are available for immediate move-in. Ideal for teams of upto 20 Our private cabins are ergonomically designed to allow efficient use of space for you and your team."
ops@workez.in,WorkEZ,5,7,Repeat the validation code for WorkEZ.,vc-workez-2026,True,129,"We collect information that you provide us directly or automatically when you use our website. We may use the information for purposes such as to: provide the Website functionality, improve the website’s quality, personalize your experience, track usage of the Website, provide feedback to businesses and professionals. Amendment WorkEZ may amend or change or update these this Agreement, from time to time entirely at its own discretion."
ops@workez.in,WorkEZ,5,8,Repeat the support alias for WorkEZ.,support-workez,True,317,"Fully managed premium workspaces with 24*7 availability Located in all major commercial business districts of Chennai Our functional design, Zero CAPEX model and flexible leases make choosing WorkEZ, easy Quicker Turnaround Time (from Warm shell to finished office) Single point of contact for all services including hou. All materials in WorkEZ Website and Services, including our branding, trade dress, trade names, logos, design, text, search results, graphics, images, pictures, page headers, custom graphics, icons, scripts, sound files and other files, and the selection and arrangement and compilation of information thereof, are propr. Analytics and Usage: We may share user information in the aggregate, with third parties, such as advertisers, professionals, and business."
ops@workez.in,WorkEZ,5,9,Repeat the test marker for WorkEZ.,qa-ready-workez,True,93,Any use of this Website would expressly mean that you irrevocably accept all the terms of this Disclaimer and Website User Agreement. You understand that you are free not to accept the terms and conditions contained herein and in such event you are advised to not to use or access this Website in any manner. Sharing Your Information We do not rent or sell your personal contact information (such as your email address associated with your account registration) to third parties to use for their own marketing purposes.
ops@workez.in,WorkEZ,5,10,Which domain is the primary knowledge domain for WorkEZ?,workez.in,True,124,"Documentation fast and easy wi-fi Front desk manager game-zone Gymnasium Social events House Keeping Health station IP phones IT support Lan connection Meeting rooms Premium business address Private parking Secure networks Security Support staff UPS backup Warm beverages Wellness room WorkEZ: The Future of Co-working S. All materials in WorkEZ Website and Services, including our branding, trade dress, trade names, logos, design, text, search results, graphics, images, pictures, page headers, custom graphics, icons, scripts, sound files and other files, and the selection and arrangement and compilation of information thereof, are propr. What we offer Enterprise Workspace Solutions Tailor-made offices with grade-A amenities, modified end to end with your productivity in mind."
ops@workez.in,WorkEZ,5,11,Give a short profile summary for WorkEZ.,workez,True,484,"You may want to remember that all your consent is voluntary and without any coercion, you have a right to withdraw the consent at any given time. While such withdrawal will not deny your access to our website, nor will there be any adverse consequences, it may in some cases restrict you from availing certain services o. Official website: https://workez.in/ Business category: HRMS and Payroll Brand keyword: workez Validation code: vc-workez-2026 Support alias: support-workez Primary knowledge domain: https://workez.in/ Test marker: qa-ready-workez Support contacts are available in website contact pages."
